Marca temporal,ID Único,Edad:,Género:,Nivel socioeconómico:,Grado de estudios:,Actualmente te encuentras:,Si actualmente trabajas. ¿En qué área trabajas?,Estado de origen:,Municipio de origen:,"1. Describa, ¿en qué situaciones últimamente ha sentido alegría?","2. Especifique, ¿en qué situaciones últimamente ha sentido ganas de llorar?","3. En las últimas dos semanas, ¿en qué momentos se ha sentido cansado?","4. ¿En qué situaciones de su día a día, puede identificar que se ha sentido preocupado?","5. Cuando la preocupación se hace presente en su vida, ¿cuáles son las sensaciones corporales que experimenta?","6. Si su escritor favorito le pidiera que le ayude a buscar el significado de la felicidad, ¿cuál sería la idea que usted escribiría?","7. Cuando tiene una elección importante que hacer, mencione ¿cuáles serían los pasos que seguiría para llegar a tomar una decisión?","8. Cuando sucede algo inesperado en su vida, por ejemplo: llegar tarde al trabajo, el automóvil se descompuso, se quedó sin batería el celular, olvidar las llaves, etc., describa ¿cómo reacciona ante estas situaciones?",9. Describa ¿En qué situaciones de su vida considera que se siente estresado o molesto?,"10. Por favor, describa brevemente ¿qué hace cuando tiene que enfrentar una situación difícil?"
4/23/2024 19:48:07,PFNKXS54,28,Masculino,Medio,Maestría,Ambos,"Sector de la educación - Maestros, educadores, administradores educativos, etc.",Veracruz,Coscomatepec,"Cuando estoy dando clases, cuando puedo salir a divertirme con mis amigos, si veo a una persona que me gusta o me agrada su compañía, al escuchar la música que más me gusta, platicar con una persona que muestra interés por mi, si comparto tiempo con mi familia, estando acostado y me invade una paz y tranquilidad.","Cuando estoy frustrado por no poder hacer un trabajo, cuando siento que no estoy dando el ancho en el doctorado o no avanzo en mi investigación, cuando me desespero y estoy demasiado estresado por todas las cosas que tengo que hacer.","Cuando estoy todo el día en la facultad por tantas clases que debo de darl, en la noche al llegar al gym y que mi cuerpo ya pide acostarse un rato, si no duermo bien me siento muy agotado.","Cuando tengo trabajos pendientes que entregar, cuando pasa algo y tengo la duda me genera mucha incertidumbre, cuando una persona no habla conmigo y no me da sus razones, cuando se me juntan muchas actividades para el otro día.","Estrés, me siento agotado, me siento desanimado, me siento impaciente o estoy pensando mucho las cosas, con frecuencia trato de hablar con mi consciencia.","El estado en el que el ser humano se siente pleno, se siente tranquilo, se siente querido, un estado en el cual las personas se sienten alegres y comparten su vibra bonita combinada con amor.","1. Analizar bien cuál es el contexto de la elección.
2. Pensar cuáles serían las posibles consecuencias de esa elección.
3. Analizar quiénes serían los beneficiados o afectados.
4. Cuál es el mejor escenario al que me lleva esa decisión.
5. Estar 100% seguro de lo que decidiré.
6. Tomar la decisión.","Me desespero, suelo enojarme y en angustiarme por cómo resolverlo y cuánto tiempo me llevará resolver eso.","Me siento estresado cuando me pongo a trabajar y siento que no avanzo, cuando se me va muy rápido el tiempo y no he logrado cubrir ciertas actividades que me programo, cuando no logro organizarme como quisiera, cuando siento que me quieren tomar el pelo o bien cuando abusan de mi nobleza.",Cuando enfrento una situación difícil trato de analizar todo el contexto para poder determinar cuál será la mejor solución y que no haya afectados. La decisión que yo tome debe ser por mí mismo que yo así lo haya querido y no busque justificación de culpables después.
4/23/2024 19:48:07,MKZUPRJI,21,Masculino,Bajo,Licenciatura,Ambos,"Comercio y ventas - Vendedores, gerentes de tienda, representantes de atención al cliente, etc.",Veracruz,Acultzingo ,Cuando me sale algo bien en la escuela y trabajo ,Cuando no me salen las cosas ,Mm cuando hago demasiadas actividades ,Cuando algo no me sale ,A haces ataques de antiedad dolor de estómago o cabeza , Paz y alegría , Pensar en consecuencias más y buenas ,Con preocupación ,Cuando no me salen las cosas ,Pensar en cómo resolverla 
4/23/2024 19:48:07,UJCL56SG,22,Masculino,Medio,Licenciatura,Ambos,"Sector administrativo y de oficina - Incluye roles como asistente administrativo, recepcionista, etc.",Tlaxcala,zacatelco ,"En ver recuerdos, pensar escenarios imaginarios","Al pensar cosas y que no pasen, planear cosas y no sucedan, no ver reciprocidad en cuanto afecto","Cuando me preguntan sobre cosas de la escuela, que pienso del futuro o simplemente por imsonio","En todo el tiempo, vivo ansioso","Sudor, dolor de espalda y hombros, sed, hiperactividad","La felicidad la describiría acorde al conceto de libertad que tenga cada uno, ya que considero que la libertad es proporcional a la ignorancia de las causas que te condicionan, por lo que mi felicidad depende de que tanto sepa que me constituye.","Imaginar escenarios posibles y ver cual puede ser el mejor, preguntar opiniones, imaginarme desde fuera y al final elegir...
Si es una decisión a tomar rápido como ir manejando por ejemplo, la tomo en base a mi intuición ","Me estreso al inicio, después me rio del problema, digo meh, suspiro, a veces lloro e intento ya calmarme después de ello","En casa, en proyectos donde no me ayudan, en temas de sociedad y las cosas que me condicionan ","Pondría llorar, pero realmente no, intento descargarlo de alguna forma, generar un momento de catarsis, ya sea escribiendolo en mi diario, escribiendo alguna canción, llorando o solo intentar minimizarlo para no sentirme culpable por sentirlo y hacerme sentir mejor creyendo que otros la pasan peor y no debería yo ponerme así..."
4/23/2024 19:48:07,B2KUCT4P,20,Femenino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Tecamachalco,"Cuando paso tiempo con mis amigos, como salir a comer o a lugares",Cuando las cosas no salen como quiero,Cuando me saturo de tareas,"Cuando algo no me sale bien, y hasta que no me salga estare ahi con la preocupacion",Fatiga y tristeza,Felicidad es cuando sientes una paz en ti ,"Cual me conviene, cual tiene mas razón y lógica",Primero reacciono por impulso una sensación de preocupación pero despues trato de calmarme y respirar y tratar de buscar alguna solución ,En semanas de evaluaciones o para hacer tramites,Me trato de tranquilizar si es necesario pido ayuda o hablo con alguien
4/23/2024 19:48:07,GXLRPJ5F,22,Femenino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,San Matías Tlalancaleca ,"Cuando hago algo y recibo halagos sobre eso, cuando hago ejercicio, cuando escucho podcast de motivación, mejora personal, etc",Cuando me enojo con mis hermanas o cuando me enojo con mi novio.,A veces cuando salgo de mis prácticas y hace mucho calor. ,Cuando no atiendo las tareas que debo hacer. O hago algo mal ,"Nervios, angustia, estrés ","La felicidad son las pequeñas cosas que hacemos día con día y nos ayudan a crecer, a mejorar y a sentirnos plenos con nosotros mismos. ","Pensar si es buena elección a futuro
Consultarlo con mi familia 
De acuerdo a eso, ver si me conviene o no
","Me estreso, suelo empezar a decir si hubiera salido antes... Si hubiera llevado el cargador, si hubiera avisado... Etc","Cuando algo no sale como lo planeo, cuando estudio mucho y no lo veo reflejado en mi nota, cuando me ponen a competir y pierdo. Cuando por cuestiones externas pasa algo que no puedo controlar. ",Tiendo a pensar mucho pero al final aunque no esté segura lo hago y lo enfrento. 
4/23/2024 19:48:07,U1856WJ8,19,Masculino,Bajo,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Puebla,Al estar con mi gata y estando con mis amistades,Por sentirme insuficiente,"En ambas, ya llevo más de un mes sintiendome bastante agotado","El tener que vivir un día más, sonará medio ridiculo pero tener que afrontar el mañana me está cansando",Cansancio mental y ansias,La paz,El como me voy a sentir despues re tomar una decisión,"Depende, aveces solo sigo con mi día, aveces es un chale y a seguirle, aveces reacciono muy exagerado y otras solo me estreso","Con la universidad, con tanto trabajo que se me juntó ya empiezo a sentir presión ","Depende, aveces prefiero evitar la situación mientras que otras solo intento ser resiliente"
4/23/2024 19:48:07,ADDP44O9,21,Masculino,Bajo,Licenciatura,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Puebla,Tochtepec ,Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,No ha habido situaciones así recientemente ,"Después de estar varias horas frente a la computadora, cuando estoy todo el día fuera de casa ",Cuando algo no sale como lo tenía planeado o surgen imprevistos ,No puedo quedarme quieto ,Estar en paz produce felicidad ,"Ver mis opciones, valorar los pros y contras de cada una, tomar en cuenta lo que quiero o necesito, hacer la elección ","Si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo ","Cuando salen múltiples imprevistos en un solo día, cuándo percances que no depende de mi me afectan directamente ","Hablarlo con algún de confianza, ser escuchado ayuda aun cuando no hay solución, buscar opciones para sobrellevar o solucionar la situación "
4/23/2024 19:48:07,EL85BQ8X,20,Masculino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Tabasco,Villahermosa ,Cuando veo a mis amigos ,Cuando me desesperó ,Cuando llego a mi casa,Cuando veo que tengo mucha  tarea,Sudo,Vive la vida a tu manera,Tener en cuenta ta todos los posibles resultados ,Intento solucionarlo lo más rápido posible,Cuando no me salen las cosas como quiero,La planeo con mucha calma
4/23/2024 19:48:07,9LGMBDLF,20,Masculino,Medio,Licenciatura,Estudiando,Otro - Para quienes no encajen en las categorías anteriores.,Tlaxcala,Huamantla ,"Al estar con mi novio, salir al aire libre, pasar el rato con amigos",Cuando me pongo a pensar en lo abrumador del futuro. Cuando siento que nadie me entiende,Al llegar a casa,Cuando dejan una nueva tarea o exámen ,Dolor de cabeza,La sensación de tranquilidad y calidez en cada suspiro,"Pensar en las ventajas y desventajas que conlleva. Imaginar un escenario con el peor de los casos donde tome la desición, evaluarlo y tomar la decisión ","Frustración, bloqueo mental, dolor de cabeza","Cuando no puedo tener el control, cuando ocurre algo que no planeó ","Pensar si puedo sobrellevarla y cuánto tiempo me tomaría. Si es muy difícil, frustrarme y llorar"
4/23/2024 19:48:07,TUW6M31C,20,Femenino,Medio,Licenciatura,Estudiando,Estudiante - Para quienes están en instituciones educativas.,Puebla,Calpan,"Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio","Situaciones de demasiado estrés, por demasiado trabajo en casa o en la universidad o cuando me siento demasiado sola y no tengo a quien contárselo ",Al llegar a casa después de la universidad ,"En clases, toda la mañana cuando siento que no puedo retener todo","Escalofríos, me tiemblan las manos y las piernas, también se me acelera el corazón.",La felicidad es todo aquello qué te mantenga emocionado sin generar preocupación ,Generalmente trato de analizar las posibles consecuencias de cada decisión para poder elegir la mejor ,Me pongo de mal humor o simplemente lo dejo pasar,Cuando me siento muy presionado o con mucho trabajo encima ,"A veces busco una solución, si no la hay solamente dejo pasar todo para no afectarme más "
